Ranking,Link,Product Name,Manufacturer,Country of Origin,Item Weight,Price,Number of Customer Ratings,Number of Reviews,Average Rating (out of 5)
55,https://www.bigbasket.com/pd/40184954/colgate-slim-soft-charcoal-toothbrush-4-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Slim Soft Charcoal Toothbrush, 4 pcs (Buy 2 Get 2 Free) ",Colgate,Origin not found,4 pcs,Rs 112.50,1567,57,4.2
56,https://www.bigbasket.com/pd/40122860/chicco-dental-kit-gum-gel-with-fingerstall-white-70-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Chicco Dental Kit - Gum Gel with Fingerstall, White, 70 g  ",Chicco,Origin not found,Item weight not found,Rs 454.35,2,,4.0
57,https://www.bigbasket.com/pd/265416/colgate-toothbrush-total-waxed-dental-floss-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Toothbrush - Total, Waxed Dental Floss, 1 pc  ",Colgate,Origin not found,Item weight not found,Rs 75,1101,48,4.3
58,https://www.bigbasket.com/pd/40000605/colgate-toothbrush-superhero-assorted-batmanspiderman-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Toothbrush Superhero Assorted, Batman/Spiderman, 1 pc  ",Colgate,Origin not found,Item weight not found,Rs 71,876,30,4.0
59,https://www.bigbasket.com/pd/40022373/listerine-mouthwash-liquid-cavity-fighter-removes-999-germs-500-ml-bottle/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Listerine Mouthwash Liquid - Cavity Fighter, Removes 99.9% Germs, 500 ml Bottle ",Listerine,Origin not found,500 ml,Rs 268,1480,40,4.3
60,https://www.bigbasket.com/pd/40015917/colgate-360-degree-visible-white-medium-bristle-toothbrush-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate 360 Degree Visible White Medium Bristle Toothbrush, 1 pc  ",Colgate,Origin not found,Item weight not found,Rs 105,93,4,4.1
61,https://www.bigbasket.com/pd/40029306/colgate-toothbrush-360-degree-flosstip-medium-bristles-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Toothbrush - 360 Degree Flosstip, Medium Bristles, 1 pc  ",Colgate,Origin not found,1 pc,Rs 95,56,3,3.7
62,https://www.bigbasket.com/pd/40231114/colgate-extra-soft-toothbrush-for-kids-batman-with-tongue-cleaner-3-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Extra Soft Toothbrush - For Kids, Batman, With Tongue Cleaner, 3 pcs  ",Colgate,Origin not found,Item weight not found,Rs 159.20,13,,4.2
63,https://www.bigbasket.com/pd/40067561/colgate-colgate-zigzag-charcoal-medium-bristle-toothbrush-4-pcs-4-pcs/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Colgate ZigZag Charcoal Medium Bristle Toothbrush - 4 Pcs, 4 pcs  ",Colgate,Origin not found,Item weight not found,Rs 99,393,8,4.2
64,https://www.bigbasket.com/pd/40001293/colgate-kids-0-2-years-extra-soft-toothbrush-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop,"Colgate Kids 0-2 Years Extra Soft Toothbrush, 1 pc  ",Colgate,Origin not found,Item weight not found,Rs 27,928,29,4.1
